Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763024,1939164,2022-01-03 00:05:24 WET,2022-01-03,00:05:24,Native Video,"4,207",1751,1193,781,116,16,266,26,35,23,owned,Yes,77912,86857,0,00:27:30,https://www.facebook.com/150808986387/posts/10160361814021388,"DEBATE LEGISLATIVAS 2022 Veja aqui na íntegra o debate entre a porta-voz do Bloco de Esquerda, Catarina Martins, e o líder do Chega, André Ventura.",https://www.facebook.com/sicnoticias/videos/292928992803960/,,,,,,,,"4,207",20.72
SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763024,1939164,2022-01-02 23:34:45 WET,2022-01-02,23:34:45,Native Video,"3,965",1670,1356,397,76,20,393,17,25,11,owned,Yes,90212,103237,0,00:02:34,https://www.facebook.com/150808986387/posts/10160361768781388,"""VENCEU ANDRÉ VENTURA. FOI UM DEBATE ENTRE UM KILLER E UMA MODERADA"" A jornalista do Expresso Ângela Silva considera que André Ventura venceu o debate com Catarina Martins, este domingo, na SIC Notícias. ""Foi um debate entre um killer, demagogo mas killer, e uma moderada, que não era suposto ser tão moderada"", afirma.",https://www.facebook.com/sicnoticias/videos/1290042864846851/,,,,,,,,"3,965",19.53
CHEGA,PartidoChegaOficial,1989920374407828,ACTIVITY_GENERAL,PT,"O CHEGA quer ser a voz do cidadão comum! Perante os novos desafios futuros que iremos enfrentar, precisamos unirmos para reerguer Portugal! Contamos consigo para sermos uma só Voz e uma só Força! É hora dos portugueses dizerem CHEGA!",2018-10-23 22:50:31,128167,143534,2022-01-07 00:54:12 WET,2022-01-07,00:54:12,Photo,"3,932",2938,291,236,391,2,52,0,4,18,,-,0,0,0,N/A,https://www.facebook.com/1989920374407828/posts/4845857065480797,"António Costa decidiu falar sobre corrupção! Ele! O mesmo António Costa que foi ministro de Sócrates e que disse aos militantes socialistas “ponham os olhos em José Sócrates”! Mas hoje, pela primeira vez, foi desmascarado pelo nosso enorme Presidente! Obrigado André Ventura",https://www.facebook.com/PartidoChegaOficial/photos/a.1989937304406135/4845844375482066/?type=3,,1 DIRETO DIRE CHEGA TV LEGISLATIVAS 22 ANDRÉ VENTURA,,,,,,"3,932",5.28
CHEGA,PartidoChegaOficial,1989920374407828,ACTIVITY_GENERAL,PT,"O CHEGA quer ser a voz do cidadão comum! Perante os novos desafios futuros que iremos enfrentar, precisamos unirmos para reerguer Portugal! Contamos consigo para sermos uma só Voz e uma só Força! É hora dos portugueses dizerem CHEGA!",2018-10-23 22:50:31,128063,143430,2022-01-06 18:23:17 WET,2022-01-06,18:23:17,Native Video,"3,831",2092,249,1145,311,1,3,1,9,20,owned,Yes,15604,30954,0,00:06:09,https://www.facebook.com/1989920374407828/posts/4845059142227256,"Na sua última intervenção parlamentar desta legislatura, André Ventura aponta o dedo ao Governo socialista apoiado na extrema-esquerda, por nestes anos de governação ter deixado o país e os Portugueses no caminho da mais profunda miséria e atraso. Um país com as suas Forças de Segurança desautorizadas e desmoralizadas, a Justiça comprometida e a economia de rastos. #CHEGA #AndréVentura #Legislativas2022 #PorPortugalPelosPortugueses #UmPartidoUmLíderUmDestino #DitaduradeEsquerda #VenezuelizaçãodePortugal",https://www.facebook.com/PartidoChegaOficial/videos/1032528463993095/,,,,,,,,"3,831",3.93
CHEGA,PartidoChegaOficial,1989920374407828,ACTIVITY_GENERAL,PT,"O CHEGA quer ser a voz do cidadão comum! Perante os novos desafios futuros que iremos enfrentar, precisamos unirmos para reerguer Portugal! Contamos consigo para sermos uma só Voz e uma só Força! É hora dos portugueses dizerem CHEGA!",2018-10-23 22:50:31,127888,143236,2022-01-03 01:09:48 WET,2022-01-03,01:09:48,Native Video,"3,505",1890,559,665,339,8,19,3,14,8,owned,Yes,21458,30708,0,00:27:14,https://www.facebook.com/1989920374407828/posts/4833776660022171,"Se não teve oportunidade de assistir em directo não perca aqui o debate de ontem à noite, em que André Ventura arrasou a líder da Extrema-esquerda Catarina Martins! #CHEGA #AndréVentura #Legislativas2022 #PorPortugalPelosPortugueses #UmPartidoUmLíderUmDestino #DitaduradeEsquerda #VenezuelizaçãodePortugal",https://www.facebook.com/PartidoChegaOficial/videos/1057007868201452/,,,,,,,,"3,505",3.14
António Costa,antoniolscosta,1462957374004775,POLITICIAN,PT,António Costa,2015-07-14 19:04:56,93962,96941,2022-01-04 14:01:30 WET,2022-01-04,14:01:30,Native Video,"3,337",1838,398,734,313,0,27,5,11,11,owned,Yes,10238,17612,0,00:01:22,https://www.facebook.com/1462957374004775/posts/2753161324984367,Ontem vi o Dr. Rui Rio considerar em direto com André Ventura diferentes modalidades para restabelecer a pena perpétua. Quero ser muito claro. Em circunstância alguma nós podemos ceder nos princípios ou nos valores. O combate ao populismo exige linhas vermelhas inultrapassáveis. #JuntosSeguimosEConseguimos #Legislativas2022,https://www.facebook.com/antoniolscosta/videos/472294417662138/,,,Mensagem de António Costa,,,,,"3,337",4.89
Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,759793,795770,2022-01-03 00:11:35 WET,2022-01-03,00:11:35,Photo,"3,229",358,1648,122,14,12,1024,20,24,7,,-,0,0,0,N/A,https://www.facebook.com/43218682948/posts/10159302041652949,"#Debates Legislativas2022: CATARINA MARTINS MELHOR QUE VENTURA. AS NOTAS DOS COMENTADORES DO EXPRESSO No segundo debate das legislativas, as notas dos comentadores do Expresso dão negativa a André Ventura: o líder do Chega não passa a médio dos 3,8 valores, contra 5,5 da líder do Bloco. Veja porquê, aqui em baixo, lendo a avaliação dos comentadores do Expresso. Daniel Oliveira Catarina Martins – 7 x 5 André Ventura Pela primeira vez, um dirigente de esquerda conseguiu impedir a sabotagem. A todas as interrupções, Catartina Martins nunca se deixou levar. Nunca baixou o nível ou perdeu a calma. Os dois candidatos falavam para os seus potenciais eleitores, não a indecisos entre si. E Catarina Martins precisava de deixar claro que a simetria entre Ventura e ela são absurdas. O que deixou alguns comentadores dececionados. E centrou o debate no terreno que Ventura costuma tentar focar sozinho: na corrupção. Ventura disse para marcar o dia e a hora para debater a corrupção. Faltou, no parlamento, quando se votaram as medidas anticorrupção. Como o conteúdo conta, deve-se reforçar que não teve medo de defender a decência, seja sobre imigrantes ou os mais pobres, mesmo em temas que podem ser impopulares. Foi inteligente na utilização do Papa Francisco no confronto com Ventura. Martim Silva Catarina Martins 4 – 2 André Ventura Catarina Martins procurou levar o debate para temas como a corrupção, tentando combater André Ventura em áreas com que este adora encher a boca. A opção era difícil e arriscada, convenha-se. De qualquer forma, André Ventura (com um discurso que, há que reconhecer, é fácil e pode ter impacto) continua a querer assustar e a usar o discurso do medo, dizendo por exemplo que o RSI é “distribuir subsídios para o pessoal” ou que o apoio aos refugiados e migrantes cria subsidio-dependência. Quem o faz não pode, necessariamente, ter uma avaliação positiva. Cristina Figueiredo Catarina Martins 7, André Ventura 7 A coordenadora do BE trazia a lição bem estudada e manteve-se disciplinadamente dentro do guião, sem se deixar distrair pelas provocações (que já sabia que as teria) do adversário. O presidente do Chega, por sua vez, conseguiu deixar de ser o candidato mal-educado que tínhamos visto em anteriores debates (nas presidenciais). Só por aí, nota positiva para ambos. O debate acabou por afunilar no combate à corrupção, responsabilidade sobretudo de Catarina Martins, que logo na primeira pergunta quis levar a conversa para aí. Não é líquido que tenha sido uma aposta vencedora, até porque (como seria de esperar) a André Ventura não lhe faltavam respostas num território que, a bem dizer, é a sua praia. Feitas as contas, cada um falou para os seus eleitorados e, nessa tarefa, foram ambos bem-sucedidos. Se os eleitorados de cada um são suficientes para que consigam o almejado terceiro lugar nas legislativas... essa é outra conversa. David Dinis Catarina 4 - Ventura 1 Ventura está mais agressivo, mais demagogo, mais insultuoso, mais irascível, mais perigoso do que nunca. Ventura foi, porventura, eficaz para os seus, leva um ponto, porque um ponto é o melhor que se consegue dar a quem entra num debate como se entrasse no Squid Game. Catarina Martins foi cilindrada com ataques e muitos insultos e, em contenção (lembram-se de Marisa Matias?), só mais perto do fim decidiu dizer a verdade: “André Ventura é um condenado por racismo”. Pois é, mas Catarina foi pouco eficaz. Nota: o site do Expresso encontra-se temporariamente indisponível, pelo que estamos a usar as nossas redes sociais para lhe trazer as notícias do dia. Fique connosco. #liberdadeparainformar",https://www.facebook.com/jornalexpresso/photos/a.378167197948/10159302039392949/?type=3,,,,,,,,"3,229",43.64
Camilo Lourenço,ACorDoDinheiroCL,917329228367601,ACTIVITY_GENERAL,PT,"Economia de todos, para todos.",2016-12-30 11:04:54,209464,306820,2022-01-03 21:00:00 WET,2022-01-03,21:00:00,Native Video,"3,221",2342,213,511,109,8,10,5,15,8,owned,Yes,22641,25051,0,00:41:45,https://www.facebook.com/917329228367601/posts/4279297102170780,Nesta edição vamos comentar os dois primeiros debates das legislativas: Catarina Martins vs André Ventura e António Costa vs Rui Tavares. Analisamos também o legado do PS seis anos depois de ter chegado ao governo. Venha daí,https://www.facebook.com/ACorDoDinheiroCL/videos/4773059606146848/,,,Dia D,,,,,"3,221",1.79
André Ventura,AndreAmaralVentura,101269364554956,POLITICIAN,PT,"Portugal precisa de uma 4ª República! Só acordando os portugueses e trabalhando juntos poderemos ter sucesso neste desafio.

Não podemos desistir, nem perder a esperança. Venha connosco reerguer Portugal!",2019-07-29 14:29:26,153784,173748,2022-01-05 18:22:16 WET,2022-01-05,18:22:16,Photo,"2,913",2032,484,125,184,4,58,2,1,23,,-,0,0,0,N/A,https://www.facebook.com/101269364554956/posts/648234119858475,Hoje o debate é com o ex-partido da Joacine Katar Moreira.,https://www.facebook.com/AndreAmaralVentura/photos/a.110518413630051/648234119858475/?type=3,,"HOJE às 22H00 na CNN PORTUGAL DEBATE CHEGA VS LIVRE CHEGA Hoje há novo debate na CNN Portugal! A partir das 22 horas, André Ventura enfrenta Rui Tavares, do LIVRE.",Timeline photos,,,,,"2,913",1.11
Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828731,934412,2022-01-07 09:05:56 WET,2022-01-07,09:05:56,Live Video Complete,"2,699",640,1229,573,175,2,30,15,29,6,crosspost,Yes,35893,39839,40708,00:54:36,https://www.facebook.com/111978555633494/posts/263078412593640,"Líder do Chega em direto, numa entrevista conduzida por Miguel Pinheiro, Miguel Santos Carrapatoso e Inês André Figueiredo",https://www.facebook.com/ObservadorOnTime/videos/263078412593640/,,,André Ventura está “Sob Escuta” na Rádio Observador,,,,,"2,699",22.87
