circulo,partido,candidato,tipo
Aveiro,MAS,Ana Rosa Rodrigues Vendas Fernandes,efetivo
Aveiro,MAS,Filipa Marina da Silva Martins,efetivo
Aveiro,MAS,João Paulo Torres dos Santos,efetivo
Aveiro,MAS,Maria dos Prazeres Coutinho da Silva Pinho,efetivo
Aveiro,MAS,Maria Adelaide Lima de Pinho,efetivo
Aveiro,MAS,Paulo Manuel Carvalho Machado,efetivo
Aveiro,MAS,Zélia Maria Silva Coutinho Branco,efetivo
Aveiro,MAS,Rosinda Helena de Jesus Marta,efetivo
Aveiro,MAS,Paulo Jorge dos Santos Vasconcelos,efetivo
Aveiro,MAS,Arminda Conceição Coutinho Silva Ferreira,suplente
Aveiro,MAS,Rúben Leonardo Martins Silva,suplente
Aveiro,LIVRE,Joana Ferreira Filipe,efetivo
Aveiro,LIVRE,João Quintela Santos,efetivo
Aveiro,LIVRE,Aurora Celeste Coelho e Silva Cerqueira,efetivo
Aveiro,LIVRE,Tiago Daniel Vieira da Cruz,efetivo
Aveiro,LIVRE,Laetitia da Costa,efetivo
Aveiro,LIVRE,Miguel Duarte Gonçalves,efetivo
Aveiro,LIVRE,Maria Teresa Braga Paixão de Almeida Leitão,efetivo
Aveiro,LIVRE,Martim Miguel Gomes da Costa de Brito Barreto,efetivo
Aveiro,LIVRE,Cristina Maria Ramalheira de Araújo,efetivo
Aveiro,LIVRE,Gonçalo Salvador Ribeiro e Castro,efetivo
Aveiro,LIVRE,Sofia Perestrelo de Vasconcelos Cardoso Pereira,efetivo
Aveiro,LIVRE,Robert Andros Martins Junqueira,efetivo
Aveiro,LIVRE,Gabriela Ferreira Pinho Souto de Miranda,efetivo
Aveiro,LIVRE,Licínio Aguilar Machado,efetivo
Aveiro,LIVRE,Ana Sofia Lobo Lousada,efetivo
Aveiro,LIVRE,André da Conceição Góis Fernandes,efetivo
Aveiro,LIVRE,Cristina Isabel Pereira Duarte,suplente
Aveiro,LIVRE,Justin da Silva Pereira,suplente
Aveiro,LIVRE,Marta Sofia Gomes Flôr de Oliveira,suplente
Aveiro,LIVRE,Vasco Vieira Cunha,suplente
Aveiro,LIVRE,Maria da Graça Castro Ferreira,suplente
Aveiro,ADN,Bárbara Susana Barbosa dos Santos,efetivo
Aveiro,ADN,António Eduardo Ribeiro Pais de Sá,efetivo
Aveiro,ADN,Maria Luís Vidal Santiago,efetivo
Aveiro,ADN,Nuno José Vilaça da Rocha,efetivo
Aveiro,ADN,Olga Raquel Tenreiro Teixeira,efetivo
Aveiro,ADN,Paulo Jorge Pinho de Lemos,efetivo
Aveiro,ADN,Paulo António de Oliveira e Silva,efetivo
Aveiro,ADN,Nélia Luciana Vilão Bento,efetivo
Aveiro,ADN,Bruno Daniel Nunes de Almeida,efetivo
Aveiro,ADN,Ricardo Jorge de Ventura Rodrigues,efetivo
Aveiro,ADN,Maria Natália Lontro Gil Marques Brás,efetivo
Aveiro,ADN,Ivo Leal França,efetivo
Aveiro,ADN,Maria Eduarda da Rocha Pêgo,efetivo
Aveiro,ADN,Nuno Alexandre Alves Saraiva,efetivo
Aveiro,ADN,Álvaro Tiago Gaspar Capela,efetivo
Aveiro,ADN,Maria Beatriz Ramos de Abreu,efetivo
Aveiro,ADN,José Miguel Ferreira Tafula,suplente
Aveiro,ADN,Olga Ramos de Abreu,suplente
Aveiro,BE,Moisés Salvador Coelho Ferreira,efetivo
Aveiro,BE,Nélson Ricardo Esteves Peralta,efetivo
Aveiro,BE,Sara Raquel Ferreira da Costa,efetivo
Aveiro,BE,Ana Luzia Quintela dos Santos Cruz,efetivo
Aveiro,BE,João Paulo Do Couto Matos,efetivo
Aveiro,BE,Luciana de Oliveira Reis,efetivo
Aveiro,BE,Renato Filipe de Barros Santiago,efetivo
Aveiro,BE,Andreia Bibiana Leite Pinho,efetivo
Aveiro,BE,Eduardo Gabriel Baptista Couto,efetivo
Aveiro,BE,Catarina Matoso Bento de Lucena Valadas,efetivo
Aveiro,BE,João Miguel Moniz Laranjeira Silva,efetivo
Aveiro,BE,Fernanda Maria dos Santos Lopes,efetivo
Aveiro,BE,Rita Alexandra Monteiro Baptista,efetivo
Aveiro,BE,Tiago de Oliveira Paiva,efetivo
Aveiro,BE,Sónia Isabel Lopes de Almeida Pinto,efetivo
Aveiro,BE,Luís Manuel Guedes Mourão Ribeiro,efetivo
Aveiro,BE,Paulo António Pereira de Oliveira,suplente
Aveiro,BE,Isabel Alexandra da Conceição Marques,suplente
Aveiro,BE,Jerónimo dos Santos Dias,suplente
Aveiro,BE,Renata Patrícia Duarte Malta,suplente
Aveiro,BE,António José de Jesus Monteiro,suplente
Aveiro,PCP - PEV - CDU,Adelino da Silva Nunes Pereira,efetivo
Aveiro,PCP - PEV - CDU,Juliana Filipa Carvalho da Silva,efetivo
Aveiro,PCP - PEV - CDU,Fausto Manuel da Silva Neves,efetivo
Aveiro,PCP - PEV - CDU,João José Neto Bernardo Ferreira,efetivo
Aveiro,PCP - PEV - CDU,Cristina Manuela Neves Tavares,efetivo
Aveiro,PCP - PEV - CDU,Joana Filipa Moreira Dias,efetivo
Aveiro,PCP - PEV - CDU,Justino de Jesus Pereira,efetivo
Aveiro,PCP - PEV - CDU,Matilde Santana Ferreira,efetivo
Aveiro,PCP - PEV - CDU,Isabel Cristina Lopes Tavares,efetivo
Aveiro,PCP - PEV - CDU,Nuno Filipe Moreira Teixeira,efetivo
Aveiro,PCP - PEV - CDU,Bruno Rafael Pereira Correia,efetivo
Aveiro,PCP - PEV - CDU,Maria Miguel Sá Tavares Lopes,efetivo
Aveiro,PCP - PEV - CDU,Isabel Cristina Pereira de Sousa Gomes,efetivo
Aveiro,PCP - PEV - CDU,João Miguel Canas Tavares,efetivo
Aveiro,PCP - PEV - CDU,Cláudia Susana Lima Pereira,efetivo
Aveiro,PCP - PEV - CDU,Pedro Alexandre Afonso Marques Tavares,efetivo
Aveiro,PCP - PEV - CDU,Maria Leonor Bergano Xarrama,suplente
Aveiro,PCP - PEV - CDU,Inês Carolina Madeira Rama,suplente
Aveiro,PCP - PEV - CDU,Vítor Manuel Teiga Januário,suplente
Aveiro,PCP - PEV - CDU,Maria de Fátima Gomes Martins da Costa Henriques Flores,suplente
Aveiro,PCP - PEV - CDU,Ana Pedro da Silva Justiça Pereira Peres,suplente
Aveiro,R.I.R.,Alcino dos Santos Ferreira,efetivo
Aveiro,R.I.R.,Joaquim Paulo Barbosa Soares,efetivo
Aveiro,R.I.R.,Patrícia Sousa Gonçalves,efetivo
Aveiro,R.I.R.,Tiago Miguel Lima Oliveira,efetivo
Aveiro,R.I.R.,José Miguel Ferreira da Silva Pereira,efetivo
Aveiro,R.I.R.,Filipa Sofia Valente Sá,efetivo
Aveiro,R.I.R.,José Porfírio Tavares Alves dos Santos,efetivo
Aveiro,R.I.R.,Liliana Maria Santos Ribeiro,efetivo
Aveiro,R.I.R.,Wilson Rodrigues Pinto,efetivo
Aveiro,R.I.R.,Emanuel Mendes Pinho,efetivo
Aveiro,R.I.R.,Cátia Daniela Ferreira da Mota,efetivo
Aveiro,R.I.R.,Martinho José Gonçalves,efetivo
Aveiro,R.I.R.,Maria da Conceição da Silva Rocha Alves,efetivo
Aveiro,R.I.R.,Fábio André de Oliveira Flores,efetivo
Aveiro,R.I.R.,Domitília dos Santos Ferreira Mota,efetivo
Aveiro,R.I.R.,Rui Filipe Tavares Ferreira,efetivo
Aveiro,R.I.R.,Patrícia Isabel da Silva Pereira,suplente
Aveiro,R.I.R.,Nelson Xavier Vilar Capela,suplente
Aveiro,R.I.R.,Mariana Soares Domingues,suplente
Aveiro,PS,Pedro Nuno de Oliveira Santos,efetivo
Aveiro,PS,Cláudia Maria Cruz Santos,efetivo
Aveiro,PS,Carlos Filipe de Andrade Neto Brandão,efetivo
Aveiro,PS,Porfírio Simões de Carvalho e Silva,efetivo
Aveiro,PS,Susana Alexandra Lopes Correia,efetivo
Aveiro,PS,Hugo Daniel Matos Oliveira,efetivo
Aveiro,PS,Joana Isabel Martins Rigueiro de Sá Pereira,efetivo
Aveiro,PS,Bruno Armando Aragão Henriques,efetivo
Aveiro,PS,Rosa Maria Monteiro Venâncio,efetivo
Aveiro,PS,Nuno Pinto de Almeida,efetivo
Aveiro,PS,Paulo Sérgio Gomes Tomaz,efetivo
Aveiro,PS,Domingas Maria Ramos Loureiro,efetivo
Aveiro,PS,Marisa Isabel Valente Couto,efetivo
Aveiro,PS,Bruno Marcelo Regalado Julião,efetivo
Aveiro,PS,Maria de Fátima Reis Laranjo Strecht Ribeiro,efetivo
Aveiro,PS,Délio Manuel Ferreira Carquejo,efetivo
Aveiro,PS,André Miguel Matos Beja Henriques,suplente
Aveiro,PS,Beatriz Manuel Lourenço Soares,suplente
Aveiro,PS,António Jorge Feio Bacelar Vilar,suplente
Aveiro,PS,Ana Maria da Silva,suplente
Aveiro,PS,Maria Manuela Gama do Rio Tomaz Oliveira,suplente
Aveiro,Volt Portugal,André Miguel da Silva Ferreira,efetivo
Aveiro,Volt Portugal,Inês Carolina Reis dos Santos,efetivo
Aveiro,Volt Portugal,Virgílio António Couceiro da Cruz Nogueira,efetivo
Aveiro,Volt Portugal,Ana Rita Granja Cortez,efetivo
Aveiro,Volt Portugal,Rui Hermes Martins Fernandes Nunes,efetivo
Aveiro,Volt Portugal,Mariana Estorninho Reis,efetivo
Aveiro,Volt Portugal,Ricardo Romeu Pereira Ferrão das Neves,efetivo
Aveiro,Volt Portugal,Luna Fernandes Barreto,efetivo
Aveiro,Volt Portugal,Rui Adriano Paiva de Brito Sousa,efetivo
Aveiro,Volt Portugal,Ana Cristina Rodrigues Vicente,efetivo
Aveiro,Volt Portugal,Jorge Manuel Alves Cabaço dos Reis,efetivo
Aveiro,Volt Portugal,Sílvia Maria Pinto Serafim,efetivo
Aveiro,Volt Portugal,José Diogo Pedrosa Liceia,efetivo
Aveiro,Volt Portugal,Cristina Maria Ramos Coelho,efetivo
