circulo,partido,nome,tipo
Açores,ADN,Pedro Miguel Branco Martins,efetivo
Açores,ADN,Olga Gorete Fonseca da Silva Vieira,efetivo
Açores,ADN,Nuno Ricardo Mendes da Silva Vieira,efetivo
Açores,ADN,Andrea Nunes Sousa do Nascimento,efetivo
Açores,ADN,Armando Daniel Nunes Teles de Araújo,efetivo
Açores,ADN,Cláudia Isabel Pontes Rupio,suplente
Açores,ADN,Nelson Américo Gomes da Costa,suplente
Açores,MPT,Pedro Ricardo Soares Pimenta,efetivo
Açores,MPT,Mónica Fernandes Guilherme,efetivo
Açores,MPT,Tiago Jordão Morgado Lopes,efetivo
Açores,MPT,Miquelina Maria Monteiro Claudino,efetivo
Açores,MPT,Carlos Manuel Nóbrega de Sousa,efetivo
Açores,MPT,Ilda de Sousa Soares Justino,suplente
Açores,MPT,Ana Margarida Gomes Lopes,suplente
Açores,PCP - PEV - CDU,Maria Judite Pimentel Barros da Costa,efetivo
Açores,PCP - PEV - CDU,André Emanuel da Costa Goulart,efetivo
Açores,PCP - PEV - CDU,Maria do Natal Pereira Gouveia,efetivo
Açores,PCP - PEV - CDU,Vera Mónica Pacheco Correia,efetivo
Açores,PCP - PEV - CDU,Paulo Jorge da Silva Correia,efetivo
Açores,PCP - PEV - CDU,Dulce Marisa Antunes Correia,suplente
Açores,PCP - PEV - CDU,Else Arruda Reis,suplente
Açores,PCP - PEV - CDU,Noélia Maria Vitorina Teixeira,suplente
Açores,PCP - PEV - CDU,Horácio da Silva Cravinho,suplente
Açores,PCP - PEV - CDU,Marta Sofia Antunes da Costa,suplente
Açores,PCTP/MRPP,António do Rego Vital,efetivo
Açores,PCTP/MRPP,Pedro Albergaria Leite Pacheco,efetivo
Açores,PCTP/MRPP,Alda Maria Cordeiro Sam Bento,efetivo
Açores,PCTP/MRPP,José Manuel Ventura Pacheco,efetivo
Açores,PCTP/MRPP,Dália Maria Cabral Pereira Pimentel,efetivo
Açores,PCTP/MRPP,Paulo Jorge Cordeiro Coelho,suplente
Açores,PCTP/MRPP,Rosa Margarida Cabral Pereira Pimentel,suplente
Açores,PCTP/MRPP,Paulo Alexandre Pina de Oliveira,suplente
Açores,PS,Francisco Miguel Vital Gomes do Vale César,efetivo
Açores,PS,Sérgio Humberto Rocha de Ávila,efetivo
Açores,PS,Isabel Maria Duarte de Almeida Rodrigues,efetivo
Açores,PS,João Fernando Brum de Azevedo e Castro,efetivo
Açores,PS,Cláudia Sofia Viegas Cabrita,efetivo
Açores,PS,Henrique Miguel Couto Melo,suplente
Açores,PS,Carla Alexandra Avelar Noia,suplente
Açores,PS,André Manuel de Sousa Fernandes,suplente
Açores,PS,Ana Sofia Fernandes Ambrósio,suplente
Açores,PS,Cláudia Raquel Lourenço Vieira da Silva,suplente
Açores,LIVRE,José Manuel Viegas Oliveira Neto Azevedo,efetivo
Açores,LIVRE,Florbela Martins do Carmo,efetivo
Açores,LIVRE,Bernardo Maria de Castilho Baptista Fernandes,efetivo
Açores,LIVRE,Margarida do Carmo Afonso Pinto,efetivo
Açores,LIVRE,Anhelina Bykova,efetivo
Açores,LIVRE,Rui Manuel Órfão Bernardes,suplente
Açores,LIVRE,Fátima Ellas Silva Cunha,suplente
Açores,MAS,Eduardo Jorge Pimentel Rodrigues Pereira,efetivo
Açores,MAS,Maria Isabel Marques da Silveira,efetivo
Açores,MAS,Pedro Pestana Bettencourt,efetivo
Açores,MAS,Maria da Soledade Afonso Paleta,efetivo
Açores,MAS,Maria de Fátima da Silva Lopes,efetivo
Açores,MAS,Carlos Manuel Sousa Ferreira,suplente
Açores,MAS,Manuel Fernando Areias da Silva,suplente
Açores,Volt Portugal,Dino de Sousa Castelo Branco,efetivo
Açores,Volt Portugal,Vanessa Carina Correia Ferreira,efetivo
Açores,Volt Portugal,Rui Miguel Pacheco Correia,efetivo
Açores,Volt Portugal,Osvalda Maria Duarte Correia,efetivo
Açores,Volt Portugal,David Manuel Duarte Teves,efetivo
Açores,Volt Portugal,Ana Cristina Duarte Correia Jorge,suplente
Açores,Volt Portugal,Filipe Fernando Pimentel Braga Serra,suplente
Açores,Volt Portugal,Néli Maria Duarte Correia Teves,suplente
Açores,Volt Portugal,Dino Pacheco Correia,suplente
Açores,Volt Portugal,Micaela Almeida Medeiros Correia,suplente
Açores,CHEGA,José Eduardo da Cunha Pacheco,efetivo
Açores,CHEGA,Francisco Gabriel Meneses de Lima,efetivo
Açores,CHEGA,Olivéria de Lurdes Cabral dos Santos,efetivo
Açores,CHEGA,Fernando Luís Hintze Ataíde Mota,efetivo
Açores,CHEGA,José Macedo Rodrigues Bernardo,efetivo
Açores,CHEGA,Cecília Maria Ázera Ribeiro Ferreira,suplente
